latitude,longitude,title,description,type,status
50.9375,6.9603,Kolner Dom,Gothic cathedral and UNESCO World Heritage Site,landmark,active
51.2277,6.7735,Rheinturm Dusseldorf,Telecommunications tower with observation deck,landmark,active
51.5136,7.4653,Signal Iduna Park,Home stadium of Borussia Dortmund,sports,active
51.4556,7.0116,Zeche Zollverein,Former coal mine - UNESCO World Heritage Site,museum,active
50.7374,7.0982,Beethoven-Haus Bonn,Birthplace of Ludwig van Beethoven,museum,active
51.9607,7.6261,Prinzipalmarkt Munster,Historic marketplace with gabled houses,landmark,active
52.0302,8.5325,Sparrenburg Bielefeld,Medieval castle with panoramic views,landmark,active
51.2562,7.1508,Schwebebahn Wuppertal,Historic suspension railway,transport,active
51.4344,6.7623,Landschaftspark Duisburg-Nord,Industrial heritage park,park,active
51.4818,7.2162,Deutsches Bergbau-Museum,German Mining Museum,museum,active
50.9413,6.9580,Museum Ludwig Koln,Modern art museum,museum,active
51.2195,6.7763,Altstadt Dusseldorf,Historic old town with bars and restaurants,district,active
51.5056,7.4517,Westfalenpark Dortmund,Large urban park with Florian Tower,park,active
50.7340,7.0984,Poppelsdorfer Schloss,Baroque palace with botanical gardens,landmark,active
51.9625,7.6286,St. Paulus Dom Munster,Medieval cathedral,landmark,active
